,step,sub_step,begin_node,main_node,end_node,axis
0,1,1,12,14,16,xy
1,1,2,11,13,15,xy
2,2,1,14,12,24,yz
3,2,2,12,14,16,yz
4,3,1,12,24,26,xy
5,3,2,14,12,24,yz
6,4,1,12,24,26,xy
