,step,sub_step,main_node,true_angle,operator
0,1,1,14,90,<
1,1,2,13,90,<
2,2,1,13,100,>
3,3,1,11,57,<
4,3,2,12,57,<
5,4,1,14,84,>
6,4,2,24,90,<
7,4,3,12,40,>
