,step,sub_step,main_node,true_angle,operator
0,1,1,14,90,<
1,1,2,13,90,<
2,2,1,11,30,>
3,3,1,26,160,<=
4,3,2,11,27,<
5,4,1,14,90,>
6,4,2,12,90,>
