,step,sub_step,begin_node,main_node,end_node,axis
0,1,1,12,14,16,xy
1,1,2,11,13,15,xy
2,2,1,12,14,16,yz
3,2,2,14,12,24,yz
4,2,3,24,23,25,yz
5,3,1,13,11,23,yz
6,3,2,11,13,15,yz
7,4,1,12,24,26,xy
8,4,2,24,26,28,yz
9,4,3,14,12,24,xy
10,4,4,13,11,23,xy
11,4,5,12,14,22,xy
12,4,6,11,13,15,xy
