,step,sub_step,main_node,true_angle,operator
0,1,1,14,90,<
1,1,2,13,90,<
2,2,1,23,90,<
3,3,1,13,125,<=
4,3,2,11,80,>
5,3,3,14,110,<=
6,3,4,12,90,<
7,4,1,14,90,>
8,4,2,12,90,>
9,4,3,23,100,>
